ZIPCODE,CITY,AREA,ROAD,SCOOP
110041,臺北市,信義區,中坡南路,單 201號以上
110040,臺北市,信義區,中坡南路,雙 188號以下
111003,臺北市,士林區,中社路一段,單全
111003,臺北市,士林區,中社路一段,雙  78號以下
111002,臺北市,士林區,中社路一段,雙  80號至  86號
111002,臺北市,士林區,中社路二段,全
115002,臺北市,南港區,中南街,全
104087,臺北市,中山區,中原街,單  49號以下
104020,臺北市,中山區,中原街,單  51號至  89號
104024,臺北市,中山區,中原街,單  91號至 119號
104032,臺北市,中山區,中原街,單 121號以上
104087,臺北市,中山區,中原街,雙  46號以下
104020,臺北市,中山區,中原街,雙  48號至  86號
104024,臺北市,中山區,中原街,雙  88號至 128號
104032,臺北市,中山區,中原街,雙 130號以上
116021,臺北市,文山區,中崙路,全
111092,臺北市,士林區,中庸一路,單 199號以下
111015,臺北市,士林區,中庸一路,單 201號以上
111092,臺北市,士林區,中庸一路,雙 200號以下
111015,臺北市,士林區,中庸一路,雙 202號以上
111092,臺北市,士林區,中庸二路,全
111015,臺北市,士林區,中庸五路,全
112008,臺北市,北投區,中華街,全
111092,臺北市,士林區,中華路,全
100413,臺北市,中正區,中華路一段,　  39號
108459,臺北市,萬華區,中華路一段,　   2號
108301,臺北市,萬華區,中華路一段,　  66號
100005,臺北市,中正區,中華路一段,單  55號以下
100006,臺北市,中正區,中華路一段,單  57號以上
108001,臺北市,萬華區,中華路一段,雙   4號至  64號
108002,臺北市,萬華區,中華路一段,雙  68號至 138號
108004,臺北市,萬華區,中華路一段,雙 140號至 156號
108007,臺北市,萬華區,中華路一段,雙 158號至 176號
108012,臺北市,萬華區,中華路一段,雙 178號以上
108648,臺北市,萬華區,中華路二段,雙 332號至 336號
108651,臺北市,萬華區,中華路二段,連 666號至 666之  13號
100058,臺北市,中正區,中華路二段,單 101號以下
100059,臺北市,中正區,中華路二段,單 103號至 221號
100061,臺北市,中正區,中華路二段,單 223號至 301號
100062,臺北市,中正區,中華路二段,單 303巷至 305巷
100062,臺北市,中正區,中華路二段,　 307巷單全
100063,臺北市,中正區,中華路二段,　 307巷雙全
100063,臺北市,中正區,中華路二段,　 309巷全
100062,臺北市,中正區,中華路二段,　 311巷全
100063,臺北市,中正區,中華路二段,單 313巷至 315巷
100066,臺北市,中正區,中華路二段,單 317號至 417號
100065,臺北市,中正區,中華路二段,單 419號以上
108028,臺北市,萬華區,中華路二段,雙  50號以下
108030,臺北市,萬華區,中華路二段,雙  52號至 220號
108048,臺北市,萬華區,中華路二段,雙 222號至 364號
108050,臺北市,萬華區,中華路二段,雙 366號至 414號
108052,臺北市,萬華區,中華路二段,　 416巷全
108050,臺北市,萬華區,中華路二段,雙 418號至 584號
108051,臺北市,萬華區,中華路二段,雙 586號以上
111010,臺北市,士林區,中興街,全
112091,臺北市,北投區,中興路,單全
112092,臺北市,北投區,中興路,雙全
100026,臺北市,中正區,丹陽街,全
114047,臺北市,內湖區,五分街,單  51號以下
114056,臺北市,內湖區,五分街,單  53號以上
114047,臺北市,內湖區,五分街,雙  22號以下
114056,臺北市,內湖區,五分街,雙  24號以上
103020,臺北市,大同區,五原路,全
104362,臺北市,中山區,五常街,　  16號
104066,臺北市,中山區,五常街,單  27號以下
104064,臺北市,中山區,五常街,單  29號至  53號
104064,臺北市,中山區,五常街,　  53巷單  23號以下
104065,臺北市,中山區,五常街,　  53巷單  25號至  37號
104060,臺北市,中山區,五常街,　  53巷單  39號以上
104064,臺北市,中山區,五常街,　  53巷雙  22號以下
