"樟原","Zhangyuan"
"風櫃斗湖","Fengguidou Hu"
"文宏路","Wenhong Rd."
"路內","Lunei"
"春山巷","Chunshan Ln."
"員南路","Yuannan Rd."
"下灣巷","Xiawan Ln."
"同心2路","Tongxin 2nd Rd."
"河陽路","Heyang Rd."
"湖興","Huxing"
"內楒仔腳","Neisi Zaijiao"
"光榮3街","Guangrong 3rd St."
"義教西路","Yijiao W. Rd."
"大新路","Daxin Rd."
"直潭巷","Zhitan Ln."
"太平東路","Taiping E. Rd."
"忠5街","Zhong 5th St."
"寶溪巷","Baoxi Ln."
"軍福16路","Junfu 16th Rd."
"保生9街","Baosheng 9th St."
"水尾仔","Shuiweizai"
"民樂","Minle"
"裕文路","Yuwen Rd."
"鼎灣","Dingwan"
"棋山","Qishan"
"定遠新村","Dingyuan Vil."
"郡緯街","Junwei St."
"敬安街","Jing’an St."
"德安3街","De’an 3rd St."
"熱河3街","Rehe 3rd St."
"文東路","Wendong Rd."
"石廟仔","Shimiaozai"
"大仁南路","Daren S. Rd."
"鹽地仔","Yandizai"
"大竹巷","Dazhu Ln."
"下泉路","Xiaquan Rd."
"環館北路","Huanguan N. Rd."
"益壽1街","Yishou 1st St."
"圳北巷","Zunbei Ln."
"外埤","Waipi"
"中湖街","Zhonghu St."
"樂宮街","Legong St."
"東門街","Dongmen St."
"龍東路","Longdong Rd."
"后沙","Housha"
"鳳源路","Fengyuan Rd."
"十四甲","Shisijia"
"三界壇","Sanjietan"
"公埔巷","Gongpu Ln."
"壹豐巷","Yifeng Ln."
"獅球路","Shiqiu Rd."
"太康","Taikang"
"博館3街","Boguan 3rd St."
"鹿工南5路","Lugong S. 5th Rd."
"南隆街","Nanlong St."
"外垵","Wai’an"
"文化二十街","Wenhua 20th St."
"永華1街","Yonghua 1st St."
"頂興街","Dingxing St."
"七中路","Qizhong Rd."
"後壁寮","Houbiliao"
"合利街","Heli St."
"太平","Taiping 4th Ln."
"民生南路","Minsheng S. Rd."
"樂群2路","Lequn 2nd Rd."
"永工6路","Yonggong 6th Rd."
"營盤腳","Yingpanjiao"
"六股","Liugu"
"六甲6街","Liujia 6th St."
"東勢西路","Dongshi W. Rd."
"湳底路","Nandi Rd."
"食品路","Shipin Rd."
"柑腳下坑","Ganjiaoxiakeng"
"龍社1街","Longshe 1st St."
"建利街","Jianli St."
"國慶5街","Guoqing 5th St."
"烏山坑","Wushankeng"
"二苓路","Erling Rd."
"馬光路","Maguang Rd."
"潭仔巷","Tanzai Ln."
"平允街","Pingyun St."
"九芎林","Jiuqionglin"
"文苑路","Wenyuan Rd."
"西興東路","Xixing E. Rd."
"自強新屯","Ziqiangxintun"
"玉田路","Yutian Rd."
"入船路","Ruchuan Rd."
"修文街","Xiuwen St."
"內埔仔","Neipuzai"
"朝富3街","Chaofu 3rd St."
"顏厝寮","Yancuoliao"
"中州巷","Zhongzhou Ln."
"孔宅5街","Kongzhai 5th St."
"平和","Pinghe"
"茅埔","Maopu"
"湖肚","Hudu"
"溝美","Goumei"
"大埔1街","Dapu 1st St."
"八角林","Bajiaolin"
"雙園3街","Shuangyuan 3rd St."
"臺塑","Taisu 6th Ln."
"北保東路","Beibao E. Rd."
"明潭街","Mingtan St."
"緯5路","Wei 5th Rd."
"建功街","Jiangong St."
"金星里","Jinxing Vil."
"公園6街","Gongyuan 6th St."
"后科南路","Houke S. Rd."
"挖仔厝","Wazaicuo"
"東興11街","Dongxing 11th St."
"大順6路","Dashun 6th Rd."
"培英2街","Peiying 2nd St."
"中道街","Zhongdao St."
"紫園街","Ziyuan St."
"莒光村","Juguang Vil."
"教仁路","Jiaoren Rd."
"下崁子","Xiakanzi"
"六腳","Liujiao"
"溪洲西路","Xizhou W. Rd."
"長春2路","Changchun 2nd Rd."
"榮興","Rongxing"
"惠陽街","Huiyang St."
"錦平街","Jinping St."
"埒內","Lenei"
"光華東街","Guanghua E. St."
"永隆三村","Yonglong 3rd Vil."
"林園南路","Linyuan S. Rd."
"中福北路","Zhongfu N. Rd."
"黎明2路","Liming 2nd Rd."
"大廟3街","Damiao 3rd St."
"托子1街","Tuozi 1st St."
"錦上街","Jinshang St."
"紹興街","Shaoxing St."
"下北勢","Xiabeishi"
"二一四0南巷","2140th S. Ln."
"興業街","Xingye St."
